# group_id size arrival_time dining_duration is_reserved reservation_time reservation_expiry_time preferred_table_id preferred_table_capacity
1 1 11:30 66 0 - - - -
2 2 11:33 66 0 - - - -
3 2 11:36 47 0 - - - -
4 2 11:40 63 0 - - - -
5 3 11:43 64 0 - - - -
6 4 11:46 68 0 - - - -
7 3 11:49 75 0 - - - -
8 2 11:52 46 0 - - - -
9 2 11:55 49 0 - - - -
10 3 11:59 70 0 - - - -
11 2 12:02 62 0 - - - -
12 1 12:05 43 0 - - - -
13 1 12:08 60 0 - - - -
14 4 12:11 63 0 - - - -
15 2 12:15 37 0 - - - -
16 2 12:18 54 0 - - - -
17 4 12:21 46 0 - - - -
18 2 12:24 49 0 - - - -
19 1 12:27 48 0 - - - -
20 4 12:30 61 0 - - - -
21 1 12:34 56 0 - - - -
22 2 12:37 41 0 - - - -
23 1 12:40 68 0 - - - -
24 2 12:43 36 0 - - - -
25 2 12:46 47 0 - - - -
26 2 12:50 49 0 - - - -
27 2 12:53 61 0 - - - -
28 2 12:56 61 0 - - - -
29 5 12:59 72 0 - - - -
30 4 13:02 75 0 - - - -
31 2 13:05 52 0 - - - -
32 2 13:09 40 0 - - - -
33 2 13:12 70 0 - - - -
34 2 13:15 48 0 - - - -
35 2 13:18 37 0 - - - -
36 3 13:21 71 0 - - - -
37 2 13:25 63 0 - - - -
38 1 13:28 35 0 - - - -
39 4 13:31 61 0 - - - -
40 3 13:34 50 0 - - - -
41 2 13:37 39 0 - - - -
42 3 13:40 42 0 - - - -
43 2 13:44 60 0 - - - -
44 2 13:47 38 0 - - - -
45 2 13:50 38 0 - - - -
46 2 13:53 63 0 - - - -
47 4 13:56 52 0 - - - -
48 2 14:00 66 0 - - - -
49 1 14:03 44 0 - - - -
50 2 14:06 59 0 - - - -
51 1 14:09 45 0 - - - -
52 2 14:12 68 0 - - - -
53 1 14:15 67 0 - - - -
54 2 14:19 45 0 - - - -
55 2 14:22 54 0 - - - -
56 2 14:25 50 0 - - - -
57 3 14:28 52 0 - - - -
58 4 14:31 58 0 - - - -
59 4 14:35 46 0 - - - -
60 2 14:38 69 0 - - - -
61 4 14:41 60 0 - - - -
62 2 14:44 37 0 - - - -
63 1 14:47 54 0 - - - -
64 4 14:50 45 0 - - - -
65 6 14:54 71 0 - - - -
66 1 14:57 45 0 - - - -
67 2 15:00 49 0 - - - -
68 2 17:00 45 0 - - - -
69 4 17:04 61 0 - - - -
70 2 17:07 36 0 - - - -
71 2 17:11 63 0 - - - -
72 4 17:14 69 0 - - - -
73 4 17:18 62 0 - - - -
74 6 17:21 64 0 - - - -
75 2 17:25 45 0 - - - -
76 2 17:29 68 0 - - - -
77 1 17:32 35 0 - - - -
78 1 17:36 43 0 - - - -
79 2 17:39 55 0 - - - -
80 3 17:43 68 0 - - - -
81 4 17:47 70 0 - - - -
82 1 17:50 36 0 - - - -
83 1 17:54 67 0 - - - -
84 5 17:57 50 0 - - - -
85 4 18:01 66 0 - - - -
86 4 18:04 45 0 - - - -
87 2 18:08 65 0 - - - -
88 2 18:12 62 0 - - - -
89 2 18:15 56 0 - - - -
90 2 18:19 58 0 - - - -
91 2 18:22 65 0 - - - -
92 2 18:26 39 0 - - - -
93 2 18:30 69 0 - - - -
94 2 18:33 55 0 - - - -
95 3 18:37 63 0 - - - -
96 2 18:40 40 0 - - - -
97 2 18:44 47 0 - - - -
98 2 18:47 46 0 - - - -
99 6 18:51 83 0 - - - -
100 2 18:55 52 0 - - - -
101 4 18:58 65 0 - - - -
102 2 19:02 60 0 - - - -
103 2 19:05 53 0 - - - -
104 2 19:09 42 0 - - - -
105 1 19:13 51 0 - - - -
106 6 19:16 84 0 - - - -
107 2 19:20 44 0 - - - -
108 1 19:23 54 0 - - - -
109 2 19:27 40 0 - - - -
110 1 19:30 46 0 - - - -
111 2 19:34 43 0 - - - -
112 1 19:38 50 0 - - - -
113 1 19:41 56 0 - - - -
114 3 19:45 66 0 - - - -
115 3 19:48 52 0 - - - -
116 3 19:52 60 0 - - - -
117 3 19:56 57 0 - - - -
118 2 19:59 59 0 - - - -
119 2 20:03 50 0 - - - -
120 2 20:06 55 0 - - - -
121 3 20:10 41 0 - - - -
122 4 20:13 80 0 - - - -
123 3 20:17 73 0 - - - -
124 1 20:21 61 0 - - - -
125 2 20:24 39 0 - - - -
126 2 20:28 42 0 - - - -
127 5 20:31 82 0 - - - -
128 2 20:35 65 0 - - - -
129 2 20:39 65 0 - - - -
130 3 20:42 49 0 - - - -
131 2 20:46 36 0 - - - -
132 2 20:49 57 0 - - - -
133 1 20:53 58 0 - - - -
134 2 20:56 41 0 - - - -
135 1 21:00 42 0 - - - -
